J_Zaragoza_,PSC-PSOE,cat
tito_morano,Podemos ,esp
luisacarcedo,PSOE,esp
Hector_Illueca_,PSOE,esp
conJoseMFranco,PSOE,esp
afernb,PSOE,esp
MargalloJm,PP,esp
jordixucla,PDCat,cat
cayo_lara,IzqUnida,esp
alferma1,PSOE,esp
pacodelatorrep,PP,esp
pbustinduy,Podemos ,esp
JoanLaportaFCB,DemCat,cat
malenanevado,VOX,esp
mjmonteroc,PSOE,esp
IzaskunBilbaoB,PNV,esp
sanchezcesar,PP,esp
raulromeva,ERC,cat
SimancasRafael,PSOE,esp
TeresaGdVinuesa,VOX ,esp
AnguitaOmar,PSOE,esp
rodrijr111,VOX,esp
anaprietonieto,PSOE,esp
CesarJRamos,PSOE,esp
linagalvezmunoz,PSOE,esp
lidiafalconone1,PFeminista,esp
mapaniagua,PP,esp
MertxeAizpurua,EHBildu,esp
jmrdezuribes,PSOE,esp
zoidoJI,PP,esp
AliciaGarcia_Av,PP,esp
Joanclos,PSC-PSOE,esp
EdurneUriarte,PP,esp
cucagamarra,PP,esp
MercedesElche,PP,esp
CelaaIsabel,PSOE,esp
cesarluena,PSOE ,esp
fjosealcaraz,VOX,esp
ximopuig,PSOE,esp
anapastorjulian,PP,esp
RafaLomana,VOX,esp
LuisGestoso,VOX,esp
garciapage,PSOE,esp
PP_JavierArenas,PP,esp
mdcospedal,PP,esp
TonoEPP,PP,esp
mariadelamiel,Cs,esp
manuelvalls,Cs,esp?
mgabriela_serra,CUP,cat
_patricia_rueda,VOX,esp
margpuig,EnComúPodem,cat
PedroQuevedoIt,CCanaria,esp
abeltran_ana,PP,esp
BassaMontse,ERC,cat
patxilopez,PSOE,esp
bernatsole,ERC,cat
mavichina,PSOE,esp
Rubendariove,VOX,esp
toni_comin,JxCAT,cat
ccifuentes,PP,esp
rosaromerocr,PP,esp
mateocanellas,UMallorquina,esp
RuizSolas,VOX,esp
RoberUriarte,Podemos,esp
LuisPlanas,PSOE,esp
valentingarciag,PSOE,esp
Alber_Canarias,Podemos,esp
JFLopezAguilar,PSOE,esp
CBescansa,Podemos,esp
VicenteBetoret,PP,esp
AndresLorite,PP,esp
PiliCancela,PSOE,esp
quimforn,JxCat,esp
MariscalZabala,VOX,esp
nasholop,PSOE,esp
MeerRocio,VOX,esp
EsperanzAguirre,PP,esp
InesCanizares,VOX,esp
danielsirera,PP,cat
luciadalda,Podem ,esp
MayoralRafa,Podem ,esp
SaraGimnez,Cs,esp
hermanntertsch,VOX ,esp
Ignacos,PP,esp
lozanoirene ,Podemos,esp
astro_duque,PSOE,esp
_mireiaborras,VOX,esp
PabloEchenique,Podemos,esp
herrerobono,PP,esp
CarmenMoriyon,ForoAsturias,esp
Adrilastra,PSOE,esp
GFVara,PSOE,esp
GuillermoDiazCs,Cs,esp
SSumelzo,PSOE ,esp
BelenHoyo,PP,esp
mestremanuel,VOX,esp
JACS_JaumeACS,JxCAT,esp
micaela_navarro,PSOE,esp
eledhmel,VOX,esp
JRBauza,PP,esp
Ramon_Espadaler,PSC-PSOE,cat
gabrielorriaga,PP,esp
susana_ros,PSOE,esp
MiquelBuch,JxCat,cat
mariadolorosa,CUP,cat
gmariscalanaya,PP ,esp
salvadorilla,PSC-PSOE,cat
EduMadina ,PSOE,esp
RevillaMiguelA,PRCantabria,esp
JuanMa_Moreno,PP ,esp
eloysuarezl,PP,esp
arnauramirez,PSC-PSOE,cat
felipe_sicilia,PSOE,esp
ForcadellCarme,ERC,cat
IratxeGarper,PSOE,esp
lluisrecoder ,JxCAT,cat
anioramas,CCanaria,esp
teresa_perales,PP-PAR,esp
MartinaVelardeG,Podemos,esp
martapascal,JxCAT,cat
luzseijo,PSOE,esp
bea_fanjul,PP,esp
PabloIglesias,Podemos,
marianorajoy,PP,
sanchezcastejon,PSOE,
Albert_Rivera,Cs,
ManuelaCarmena,Podemos,
agarzon,Podemos,
manuelvalls,BPC,
ierrejon,Podemos,
AdaColau,EnComúPodem,
gabrielrufian,ERC,
KRLS,JxCat,
RevillaMiguelA,PRCantabria,
InesArrimadas,Cs,
junqueras,ERC,
MonederoJC,Podemos,
IreneMontero,Podemos,
PabloEchenique,Podemos,
Santi_ABASCAL,VOX,
pablocasado_,PP,
astro_duque,PSOE,
IdiazAyuso,PP,
EsperanzAguirre,PP,
JoseantonioJun,PSOE,
cayetanaAT,VOX,
ForcadellCarme,ERC,
TeresaRodr_,Podemos,
JoanLaportaFCB,PDCat,
raulromeva,JxCat,
ivanedlm,VOX,
ccifuentes,PP,
GirautaOficial,Cs,
AlmeidaPP_,PP,
GLlamazares,IzqUnida,
Macarena_Olona,VOX,
monicaoltra,PCPV,
QuimTorraiPla,JxCat,
Yolanda_Diaz_,PSOE,
hermanntertsch,VOX,
monasterioR,VOX,
martarovira,ERC,
Ortega_Smith,VOX,
cayo_lara,IzqUnida,
jorditurull,JxCat,
mdcospedal,PP,
patxilopez,PSOE,
JosepBorrellF,PSOE,
antoniobanos_,CUP,
begonavillacis,Cs,
joseprull,JxCat,
jordialapreso,JxCat,
susanadiaz,PSOE,
Rita_Maestre,Podemos,
CBescansa,Podemos,
JACS_JaumeACS,JxCat,
EduMadina,PSOE,
JuanMa_Moreno,PP,
beatrizbecerrab,UPYD,
ArnaldoOtegi,EHBildu,
JonInarrity,Bildu,
rogertorrent,ERC,
zoidoJI,PP,
quimforn,JxCat,
toni_comin,JxCat,
RamonEspinar,Podemos,
AlfredBosch,ERC,
ClaraPonsati,JxCat,
LauraBorras,JxCat,
yeyaboya,CUP,
anapastorjulian,PP,
Adrilastra,PSOE,
miqueliceta,PSOE,
MayoralRafa,Podemos,
joanribo,Compromis,
javiersolana,PSOE,
Igarrigavaz,VOX,
dolorsbassac,JxCat,
salvadorilla,PSOE,
bea_fanjul,PP,
ximopuig,PSOE,
OskarMatute,Alternatiba,
Albiol_XG,PP,
miriamnoguerasM,JxCat,
ramontremosa,PDCat,
xaviertrias,PDCat,
eledhmel,VOX,
carmencalvo_,PSOE,
elsa_artadi,JxCat,
Monica_Garcia_G,Podemos,
CarlesMundo,ERC,
MiguelUrban,Podemos,
